# TITAN 3C TRANSTAGE DEB (43453), e: 0.0991889, p: 29907.5, a: 37898.4
# FREGAT DEB (45635), e: 0.199661, p: 474.246, a: 3893.18
# DELTA 2 R/B (40060), e: 0.306813, p: 2379.3, a: 10131.6
# ATLAS 5 CENTAUR DEB (44008), e: 0.397373, p: 10702.9, a: 33229.3
# ATLAS 5 CENTAUR DEB (43955), e: 0.499773, p: 7237.65, a: 34444.5
# FALCON 9 R/B (44869), e: 0.60021, p: 280.274, a: 20273
# BREEZE-M DEB (TANK) (40260), e: 0.699996, p: 955.296, a: 35177.3
# BREEZE-M R/B (41582), e: 0.801434, p: 1368.97, a: 63905.1
# MMS 1 (40482), e: 0.862811, p: 6958.97, a: 174719
Index	 0.1	 0.2	 0.3	 0.4	 0.5	 0.6	 0.7	 0.8	 0.9
110	1.03303	0.622442	0.733193	1.53877	1.26379	2.5425	0.556412	0.272328	0.882371	110
111	1.03301	0.619123	0.735423	1.55685	1.26406	2.75007	0.558013	0.271447	0.885252	111
112	1.03278	0.61573	0.737598	1.57628	1.26432	2.98787	0.559615	0.27057	0.888179	112
113	1.03275	0.612261	0.73972	1.59722	1.26458	3.2558	0.561218	0.269696	0.891101	113
114	1.03288	0.609003	0.74179	1.61982	1.26483	3.57531	0.562822	0.268859	0.894019	114
115	1.03267	0.60576	0.743809	1.64428	1.26508	3.94747	0.564428	0.26806	0.896933	115
116	1.03264	0.601364	0.74578	1.67083	1.26532	4.38416	0.566034	0.267093	0.899841	116
117	1.0326	0.597561	0.747703	1.69973	1.26105	4.92475	0.567641	0.266233	0.902745	117
118	1.03274	0.593667	0.749579	1.73128	1.26148	5.58919	0.569249	0.265376	0.905643	118
119	1.03254	0.58968	0.751411	1.76585	1.26603	6.42292	0.570858	0.264522	0.908537	119
120	1.0325	0.585596	0.753199	1.80388	1.26626	7.53255	0.572467	0.263703	0.911424	120
121	1.03264	0.581698	0.754945	1.84591	1.26648	9.04391	0.574077	0.262825	0.914307	121
122	1.03244	0.57779	0.756648	1.89256	1.2667	11.2208	0.575688	0.261982	0.917183	122
123	1.03241	0.572729	0.758312	1.94462	1.26691	14.694	0.5773	0.261142	0.920307	123
124	1.03238	0.568222	0.759936	2.003	1.26713	20.9856	0.578912	0.260306	0.923172	124
125	1.03252	0.5636	0.760731	2.06902	1.26734	35.7646	0.580525	0.259473	0.926031	125
126	1.03233	0.558859	0.762275	2.14429	1.26754	102.656	0.582139	0.258674	0.928884	126
127	1.03231	0.553994	0.763783	2.23079	1.26775	79.2748	0.583753	0.257819	0.931729	127
128	1.03244	0.549277	0.765256	2.33119	1.26795	32.9788	0.585367	0.256997	0.934569	128
129	1.03244	0.544517	0.766693	2.44911	1.26814	20.7378	0.586982	0.256179	0.937401	129
130	1.03223	0.539246	0.768502	2.58953	1.26834	15.1925	0.588597	0.255365	0.940226	130
131	1.03221	0.533196	0.770284	2.75953	1.26853	12.5238	0.590213	0.254581	0.943044	131
132	1.03235	0.527635	0.771627	2.96977	1.26872	10.0084	0.591829	0.253829	0.945855	132
133	1.03217	0.521918	0.772938	3.23563	1.26891	8.58147	0.593445	0.252943	0.948453	133
134	1.03215	0.516039	0.774219	3.58301	1.2691	7.54261	0.595062	0.252144	0.951196	134
135	1.03214	0.50999	0.77547	4.05608	1.26928	6.74084	0.596678	0.251348	0.953983	135
136	1.03228	0.504026	0.776691	4.73798	1.26946	6.09899	0.598295	0.250555	0.956761	136
137	1.0321	0.497961	0.777883	5.8059	1.26964	5.58749	0.599912	0.249792	0.959532	137
138	1.03209	0.490756	0.779047	7.71652	1.2652	5.16113	0.601529	0.248982	0.962294	138
139	1.03223	0.483955	0.780184	12.1147	1.26559	4.79729	0.603146	0.248201	0.965047	139
140	1.03223	0.476944	0.781294	32.4954	1.27018	4.49406	0.604762	0.247424	0.967791	140
