ID	Name	Eccentricity	Perigee	Res_100	Res_200	Res_300	Res_400	Res_500	Res_600	Res_700	Res_800	Res_900	Res_1000
233	THOR ABLESTAR DEB	0.0029528	663.955	3.36458	0.841199	0.373871	0.210304	0.134595	0.0934688	0.0686714	0.0525765	0.041542	0.0336495
234	THOR ABLESTAR DEB	0.0065394	836.759	3.48465	0.871221	0.387214	0.21781	0.139398	0.0968046	0.0711219	0.054453	0.0430244	0.0348498
235	THOR ABLESTAR DEB	0.0169728	739.231	3.54541	0.886416	0.393967	0.221608	0.14183	0.0984928	0.0723626	0.0554022	0.0437755	0.0354583
243	THOR ABLESTAR DEB	0.0036062	875.026	3.46443	0.866163	0.384966	0.216544	0.138589	0.0962427	0.0707089	0.054137	0.042775	0.034648
244	THOR ABLESTAR DEB	0.0070646	859.146	3.50306	0.875823	0.38926	0.218959	0.140135	0.0973162	0.0714975	0.0547405	0.0432524	0.0350338
245	THOR ABLESTAR DEB	0.0063669	798.741	3.45551	0.863937	0.383976	0.215988	0.138233	0.0959952	0.0705271	0.0539977	0.0426653	0.0345591
246	THOR ABLESTAR DEB	0.0061545	896.761	3.51229	0.878131	0.390285	0.219537	0.140504	0.0975721	0.0716856	0.0548845	0.0433658	0.0351265
252	THOR ABLESTAR DEB	0.0051867	937.382	3.52151	0.880439	0.391311	0.220113	0.140873	0.0978287	0.0718746	0.055029	0.0434797	0.0352184
253	THOR ABLESTAR DEB	0.0030559	668.373	3.36363	0.840962	0.373765	0.210244	0.134557	0.0934421	0.0686519	0.0525612	0.0415299	0.0336402
254	THOR ABLESTAR DEB	0.0063919	703.255	3.41825	0.854618	0.379836	0.213658	0.136742	0.0949603	0.069767	0.053415	0.0422048	0.0341861
260	THOR ABLESTAR DEB	0.0043381	743.299	3.41746	0.854422	0.379748	0.213609	0.136711	0.0949379	0.0697508	0.0534027	0.0421949	0.0341784
261	THOR ABLESTAR DEB	0.0092329	825.201	3.50507	0.876333	0.389486	0.219087	0.140216	0.0973727	0.0715391	0.0547723	0.0432772	0.0350548
262	THOR ABLESTAR DEB	0.0085259	688.166	3.4315	0.857929	0.381307	0.214487	0.137272	0.0953279	0.0700372	0.0536223	0.0423688	0.0343186
263	THOR ABLESTAR DEB	0.0107071	679.492	3.45411	0.86359	0.383823	0.215901	0.138177	0.0959565	0.0704991	0.0539762	0.0426477	0.0345451
264	THOR ABLESTAR DEB	0.0033466	774.219	3.40834	0.852139	0.378733	0.213038	0.136345	0.0946839	0.0695643	0.05326	0.042082	0.0340872
268	THOR ABLESTAR DEB	0.0646565	954.057	4.24327	1.06095	0.471542	0.265244	0.169757	0.117887	0.0866109	0.066312	0.0523946	0.0424401
299	THOR ABLESTAR DEB	0.0200117	857.686	3.62703	0.906826	0.403039	0.226711	0.145096	0.100761	0.0740286	0.0566782	0.0447833	0.036275
309	TIROS 5	0.0196046	563.899	3.49382	0.873518	0.388236	0.218384	0.139766	0.0970598	0.0713096	0.0545966	0.0431384	0.0349422
312	DELTA 1 DEB (YO)	0.0204216	565.5	3.48823	0.872117	0.387613	0.218033	0.139542	0.096904	0.0711954	0.054509	0.0430691	0.0348861
318	THOR ABLESTAR DEB	0.0066867	561.635	3.35636	0.839144	0.372959	0.20979	0.134266	0.0932406	0.0685031	0.052448	0.0414405	0.0335669
320	THOR ABLESTAR DEB	0.0133096	703.796	3.49352	0.873447	0.388204	0.218366	0.139755	0.0970519	0.0713036	0.0545923	0.0431343	0.0349392
323	THOR ABLESTAR DEB	0.0073257	793.545	3.47436	0.868646	0.38607	0.217166	0.138987	0.0965184	0.0709122	0.0542922	0.0428972	0.0347469
324	THOR ABLESTAR DEB	0.0071082	805.132	3.47654	0.869192	0.386312	0.217302	0.139073	0.0965792	0.070956	0.0543261	0.0429249	0.0347685
325	THOR ABLESTAR DEB	0.005762	787.762	3.45577	0.864004	0.384008	0.216005	0.138244	0.0960029	0.0705327	0.0540017	0.0426681	0.0345618
