ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
2226	SCOUT A DEB	0.0248904	882.281	0.0603674	0.0541992	0.0605469	0.0605469	0.0605469
2327	ATLAS D DEB	0.0029498	875.007	0.0565567	0.0561523	0.0571289	0.0571289	0.0571289
2328	ATLAS D R/B	0.0009674	996.039	0.057166	0.0561523	0.0566406	0.0566406	0.0566406
2329	ATLAS D DEB	0.0021317	919.444	0.0566841	0.0561523	0.0566406	0.0566406	0.0566406
2334	SL-8 DEB	0.0591541	775.514	0.0662575	0.0522461	0.0654297	0.0664063	0.0664063
2337	ATLAS D DEB	0.0005195	992.258	0.0570653	0.0566406	0.0571289	0.0571289	0.0571289
2353	SCOUT A DEB	0.0156582	859.445	0.0584429	0.0541992	0.0581055	0.0581055	0.0581055
2386	SCOUT A DEB	0.0131745	863.813	0.058088	0.0546875	0.0576172	0.0576172	0.0576172
2389	OV3-3	0.122631	337.889	0.0764552	0.0463867	0.0712891	0.0756836	0.0761719
2401	OPS 2366 (TRANSIT 14)	0.0034619	1031.11	0.0576623	0.0566406	0.0571289	0.0571289	0.0571289
2413	SCOUT A R/B	0.0031504	1040.21	0.0577084	0.0566406	0.0576172	0.0576172	0.0576172
2418	OPS 6026 (DMSP 4A F1)	0.0120148	664.032	0.0562618	0.0537109	0.0566406	0.0566406	0.0566406
2422	THOR BURNER 2 R/B	0.0113171	661.062	0.0558709	0.0537109	0.0561523	0.0561523	0.0561523
2432	THOR ABLESTAR DEB	0.0034321	1051.61	0.0578494	0.0566406	0.0576172	0.0576172	0.0576172
2435	ESSA 3 (TOS-A)	0.0063515	1383.87	0.0607305	0.059082	0.0610352	0.0610352	0.0610352
2436	DELTA 1 R/B	0.0064769	1379.87	0.0607199	0.0595703	0.0615234	0.0615234	0.0615234
2518	DELTA 1 DEB	0.008137	1428.87	0.0616858	0.0595703	0.0620117	0.0620117	0.0620117
2580	SCOUT A DEB	0.0096202	899.844	0.0577513	0.0551758	0.0571289	0.0571289	0.0571289
2620	THOR ABLESTAR DEB	0.0016263	1025.98	0.057309	0.0566406	0.0566406	0.0566406	0.0566406
2621	OV1-10 R/B	0.0060777	580.553	0.0546182	0.0532227	0.0546875	0.0546875	0.0546875
2644	SCOUT A DEB	0.0216886	816.924	0.0592453	0.0541992	0.0595703	0.0595703	0.0595703
2647	SL-8 DEB	0.0185981	1346.05	0.0630774	0.0585938	0.0629883	0.0629883	0.0629883
2657	ESSA 4 (TOS-B)	0.007341	1323.14	0.060666	0.0585938	0.0605469	0.0605469	0.0605469
2661	DELTA 1 R/B	0.0064605	1337.66	0.060618	0.059082	0.0605469	0.0605469	0.0605469
2669	OPS 6073 (DMSP 4A F2)	0.0050035	762.801	0.0558977	0.0541992	0.0556641	0.0556641	0.0556641
2671	DIAMANT R/B	0.0360047	545.04	0.0595745	0.0512695	0.0595703	0.0600586	0.0600586
2674	DIADEME 1	0.0264602	523.381	0.0576446	0.0517578	0.0566406	0.0571289	0.0571289
2680	DIADEME 2	0.0718781	579.848	0.0671502	0.0507813	0.065918	0.0673828	0.0673828
2682	DIAMANT R/B	0.0755915	582.803	0.0681044	0.050293	0.0654297	0.0678711	0.0678711
2684	DIAMANT DEB	0.0511103	549.745	0.0625381	0.0507813	0.0615234	0.0620117	0.0620117
2685	DIAMANT DEB	0.0438174	537.877	0.061084	0.0507813	0.0605469	0.0610352	0.0610352
2700	DELTA 1 DEB	0.0715568	1066.83	0.0715954	0.0532227	0.0703125	0.0717773	0.0717773
2701	THOR ABLESTAR DEB	0.0064385	975.695	0.057802	0.0561523	0.0576172	0.0576172	0.0576172
2702	SCOUT A DEB	0.0086293	1056.54	0.0585525	0.0561523	0.0585938	0.0585938	0.0585938
2706	DELTA 1 DEB	0.0035418	1389.4	0.0605256	0.0595703	0.0605469	0.0605469	0.0605469
2707	DELTA 1 DEB	0.0149399	1226.5	0.061068	0.0576172	0.0610352	0.0610352	0.0610352
2741	THOR BURNER 2 R/B	0.0054558	756.534	0.0558638	0.0541992	0.0556641	0.0556641	0.0556641
2754	OPS 0100 (TRANSIT 15)	0.0019467	1029.83	0.057432	0.0571289	0.0576172	0.0576172	0.0576172
2755	SCOUT A R/B	0.0026684	1035.95	0.0576252	0.0566406	0.0576172	0.0576172	0.0576172
2757	ESSA 5	0.0043132	1352.08	0.0603582	0.059082	0.0605469	0.0605469	0.0605469
2758	DELTA 1 R/B	0.0040904	1352.48	0.0603409	0.0585938	0.0595703	0.0595703	0.0595703
2775	DELTA 1 DEB	0.0125047	1275.91	0.0612443	0.0581055	0.0610352	0.0610352	0.0610352
2777	SCOUT A DEB	0.0129175	788.151	0.0574384	0.0546875	0.0576172	0.0576172	0.0576172
2778	SCOUT A DEB	0.0122888	1036.5	0.0592607	0.0561523	0.059082	0.059082	0.059082
2789	TITAN 3C TRANSTAGE DEB	0.0102497	607.695	0.0556449	0.0532227	0.0556641	0.0556641	0.0556641
2799	TITAN 3C TRANSTAGE DEB	0.0036986	647.098	0.0549452	0.0541992	0.0546875	0.0546875	0.0546875
2800	SCOUT B DEB	0.152313	401.41	0.0858141	0.0449219	0.0766602	0.0839844	0.0849609
2801	COSMOS 158	0.0058285	725.711	0.0555512	0.0541992	0.0551758	0.0551758	0.0551758
2802	SL-8 R/B	0.0067291	695.66	0.0555767	0.0532227	0.0551758	0.0551758	0.0551758
2807	OPS 7218 (TRANSIT 16)	0.0022263	1051.8	0.0576315	0.0566406	0.0576172	0.0576172	0.0576172
2811	SCOUT A R/B	0.002121	1057.14	0.0576622	0.0571289	0.0576172	0.0576172	0.0576172
2825	THOR AGENA D R/B	0.0006054	897.242	0.0562249	0.0556641	0.0556641	0.0556641	0.0556641
2826	OPS 5712 (P/L 160)	0.0008352	719.616	0.0547949	0.0541992	0.0546875	0.0546875	0.0546875
2828	GGSE 4	0.0006578	895.821	0.0562223	0.0561523	0.0561523	0.0561523	0.0561523
2834	GGSE 5	0.0007739	900.669	0.0562693	0.0566406	0.0571289	0.0571289	0.0571289
2847	TIMATION 1	0.0004288	882.463	0.0560806	0.0556641	0.0561523	0.0561523	0.0561523
2872	SURCAL 159	0.0003798	893.082	0.0561348	0.0561523	0.0561523	0.0561523	0.0561523
2873	OPS 5712 (P/L 152)	0.0005937	894.912	0.0562029	0.0561523	0.0561523	0.0561523	0.0561523
2874	OPS 5712 (P/L 153)	0.0007221	899.195	0.0562544	0.0556641	0.0556641	0.0556641	0.0556641
2886	ATLAS CENTAUR 2 DEB	0.0645885	666.683	0.066556	0.0507813	0.0649414	0.065918	0.065918
2888	DELTA 1 DEB	0.0722127	1151.3	0.0727556	0.0541992	0.0708008	0.0727539	0.0732422
2889	SCOUT A DEB	0.0167083	1064.81	0.0603121	0.0556641	0.0595703	0.0595703	0.0595703
2909	SURCAL 150B	0.0005525	680.127	0.0544802	0.0541992	0.0546875	0.0546875	0.0546875
2920	OPS 7202 (DMSP 4A F3)	0.0039216	812.007	0.0560621	0.0556641	0.0566406	0.0566406	0.0566406
2934	SL-8 DEB	0.0368827	1173.66	0.0652491	0.0561523	0.0649414	0.0654297	0.0654297
2940	THOR BURNER 2 R/B	0.0036997	807.811	0.0558914	0.0546875	0.0556641	0.0556641	0.0556641
2965	OPS 4947 (TRANSIT 17)	0.0047197	1023.31	0.0578184	0.0566406	0.0576172	0.0576172	0.0576172
2967	SCOUT A R/B	0.0044798	1028.5	0.0576759	0.0566406	0.0576172	0.0576172	0.0576172
2976	DELTA 1 DEB	0.0098238	1255.2	0.0605718	0.0576172	0.0600586	0.0605469	0.0605469
2977	DELTA 1 DEB	0.0060171	1386.75	0.0609386	0.0595703	0.0610352	0.0615234	0.0615234
2980	OPS 1264 (DMSP 4A F4)	0.0099184	622.034	0.0556174	0.0532227	0.0556641	0.0556641	0.0556641
2985	THOR BURNER 2 R/B	0.0089993	612.421	0.0553846	0.0532227	0.0551758	0.0551758	0.0551758
2986	SCOUT X-4 DEB	0.0044204	839.846	0.0563874	0.0556641	0.0566406	0.0566406	0.0566406
2989	SCOUT A DEB	0.0113722	815.521	0.05739	0.0541992	0.0571289	0.0571289	0.0571289
2994	SCOUT A DEB	0.0094318	839.681	0.0572131	0.0551758	0.0571289	0.0571289	0.0571289
3035	ESSA 6 (TOS-D)	0.0048895	1406.21	0.0609199	0.0600586	0.0610352	0.0610352	0.0610352
3036	DELTA 1 R/B	0.0048099	1407.32	0.0609031	0.0595703	0.0605469	0.0605469	0.0605469
3038	SL-8 DEB	0.0512181	557.918	0.0626699	0.050293	0.0620117	0.0620117	0.0620117
3045	SL-8 DEB *	0.0291066	1259.84	0.0642046	0.0566406	0.0639648	0.0639648	0.0639648
3047	COSMOS 192	0.0009079	698.362	0.0546866	0.0546875	0.0551758	0.0551758	0.0551758
3048	SL-8 R/B	0.0005727	685.929	0.0545762	0.0541992	0.0546875	0.0546875	0.0546875
3051	DELTA 1 DEB	0.0089293	1341.8	0.0611562	0.059082	0.0610352	0.0610352	0.0610352
3081	COSMOS 198	0.0016904	903.623	0.0564712	0.0561523	0.0566406	0.0566406	0.0566406
3093	EXPLORER 36 (GEOS 2)	0.0319299	1079.07	0.0632865	0.0546875	0.0625	0.0629883	0.0629883
3094	DELTA 1 R/B	0.0314497	1076.67	0.0629885	0.0556641	0.0634766	0.0639648	0.0639648
3122	SCOUT A DEB	0.018832	1020.53	0.0603559	0.0561523	0.0605469	0.0605469	0.0605469
3123	DELTA 1 DEB	0.0028576	1447.91	0.0608383	0.0600586	0.0610352	0.0610352	0.0610352
3124	THOR ABLESTAR DEB	0.0353849	812.151	0.061655	0.0532227	0.0610352	0.0615234	0.0615234
3125	THOR ABLESTAR DEB	0.0307848	930.203	0.0619058	0.0546875	0.0615234	0.0615234	0.0615234
3126	DELTA 1 DEB	0.032267	1081.17	0.0633178	0.0551758	0.0634766	0.0634766	0.0634766
3127	DELTA 1 DEB	0.0321424	1072.69	0.0630927	0.0551758	0.0634766	0.0634766	0.0634766
3129	COSMOS 203	0.0012965	1179.43	0.0584384	0.0581055	0.0585938	0.0585938	0.0585938
3131	SL-8 R/B	0.0014746	1179.15	0.0585066	0.0581055	0.0585938	0.0585938	0.0585938
3133	OPS 7034 (TRANSIT 18)	0.0076885	1008.05	0.0582631	0.0561523	0.0581055	0.0581055	0.0581055
3137	SCOUT A R/B	0.0074591	1013.99	0.0582377	0.0561523	0.0581055	0.0581055	0.0581055
3158	COSMOS 209	0.0049225	864.361	0.0565156	0.0556641	0.0571289	0.0571289	0.0571289
3164	THOR ABLESTAR DEB	0.0057394	851.232	0.05658	0.0551758	0.0561523	0.0561523	0.0561523
3166	TRANSIT 5B-1 DEB	0.0043242	1056.9	0.0580124	0.0566406	0.0581055	0.0581055	0.0581055
3213	SCOUT A DEB	0.0054021	895.161	0.0569699	0.0561523	0.0571289	0.0571289	0.0571289
3214	SCOUT A DEB	0.018645	1008.91	0.0602307	0.0551758	0.0595703	0.0595703	0.0595703
3229	COSMOS 220	0.0036818	613.002	0.0545203	0.0537109	0.0546875	0.0546875	0.0546875
3230	SL-8 R/B	0.0030993	571.538	0.0540015	0.0532227	0.0541992	0.0541992	0.0541992
3266	OPS 7869 (DMSP 4B F1)	0.005352	799.839	0.0562477	0.0541992	0.0556641	0.0556641	0.0556641
3267	WESTFORD NEEDLES *	0.169469	575.378	0.0935943	0.0458984	0.0820313	0.0913086	0.0932617
3271	THOR BURNER 2 R/B	0.0051212	796.544	0.0559813	0.0551758	0.0566406	0.0566406	0.0566406
3338	EXPLORER 40 (INJUN-5)	0.113116	677.499	0.077622	0.0483398	0.0737305	0.0776367	0.0776367
3341	SCOUT B R/B	0.111985	677.59	0.0777074	0.0488281	0.0732422	0.0776367	0.078125
3345	ESSA 7 (TOS-E)	0.0026365	1428.95	0.0605524	0.0595703	0.0605469	0.0605469	0.0605469
3346	DELTA 1 R/B	0.0024189	1425.15	0.060614	0.0600586	0.0610352	0.0610352	0.0610352
3373	TITAN 3C TRANSTAGE DEB	0.020251	651.107	0.0578033	0.0527344	0.0571289	0.0571289	0.0571289
3386	TITAN 3C TRANSTAGE DEB	0.0008016	614.838	0.0542099	0.0532227	0.0537109	0.0537109	0.0537109
3392	SCOUT B DEB	0.0496027	627.065	0.0626881	0.0507813	0.0620117	0.0629883	0.0629883
3416	DELTA 1 DEB	0.011879	1299.1	0.0613421	0.059082	0.0610352	0.0610352	0.0610352
3417	DELTA 1 DEB	0.0065894	1453.43	0.0615892	0.059082	0.0610352	0.0610352	0.0610352
3454	TITAN 3C TRANSTAGE DEB	0.0023289	596.222	0.0543038	0.0537109	0.0546875	0.0546875	0.0546875
3462	TITAN 3C TRANSTAGE DEB	0.0019909	546.021	0.0538756	0.0537109	0.0541992	0.0541992	0.0541992
3488	TITAN 3C TRANSTAGE DEB	0.0027745	642.976	0.0547069	0.0541992	0.0546875	0.0546875	0.0546875
